id	kind	owner_skill	parameterized_suite	definition_location
ARCH-A01	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:140
ARCH-A02	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:144
ARCH-A03	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:148
ARCH-A04	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:152
ARCH-A05	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:156
ARCH-A06	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/system-contract.md:160
ARCH-DGM-001	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:17
ARCH-DGM-002	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:19
ARCH-DGM-003	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:23
ARCH-DGM-004	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:34
ARCH-DGM-005	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:36
ARCH-DGM-010	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:40
ARCH-DGM-011	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:42
ARCH-DGM-012	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:44
ARCH-DGM-013	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:46
ARCH-DGM-014	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:55
ARCH-DGM-020	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:59
ARCH-DGM-021	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:61
ARCH-DGM-022	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:63
ARCH-DGM-023	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:65
ARCH-DGM-024	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:67
ARCH-DGM-030	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:71
ARCH-DGM-031	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:73
ARCH-DGM-032	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:75
ARCH-DGM-040	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:79
ARCH-DGM-041	contract	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:86
ARCH-DGM-A01	scenario	implementation-architecture	CONF-000	.codex/skills/implementation-architecture/references/diagram-contract.md:90
