path	reviewed_sha256	primary_owner	contract_ids	scenario_ids	review_generation	coverage_class	boundary_reason
main.go	a759a73f1e5546f903f8ccbd9d42cc9c786504fc73a43bbd138523ca720167df	implementation-platform-lifecycle	PLAT-005,PLAT-035,PLAT-070,PLAT-077	CONF-021,PLAT-A07	2026-07-23-build-identity-review	normative	-
pkg/app/app.go	f39aec545d48f2641ac4c2a944e8f4e6a5c8a921ec830d71ce09ad1666b86200	implementation-headless-sdk	CLI-001,CLI-008,CLI-021,CLI-022,CLI-023,CLIG-001,CLIG-010,CLIG-080,RUN-011,WIRE-013,AUTH-014,MCP-080,PLAT-005	CONF-010,CONF-020,CONF-015,CONF-021,AUTH-A08,MCP-A09	2026-07-23-build-identity-review	normative	-
pkg/app/capabilities.go	764544f6cc7bb3c0ed792ef65ebfbb81e304c6a02c19ecca465ae31c780264b7	implementation-tool-protocol	TP-010,TP-020,TP-050,TP-061,TP-075,TP-077,AUTH-014,MCP-080	CONF-004,CONF-020,CONF-015,TP-A13,TP-A16,TP-A18,AUTH-A08,MCP-A09	2026-07-23-e2e-final-review	normative	-
pkg/app/commands.go	5fa2af002ac7465e9f561db9050962c386b0765c228ee44868152cffba52de25	implementation-commands-input	CD-001,CC-039,CC-072,CF-001,TR-096,AUTH-014,MCP-080	CONF-012,CONF-007,CONF-020,CONF-015,CA-021,TR-A17,AUTH-A08,MCP-A09	2026-07-23-e2e-final-review	normative	-
pkg/app/error_projection.go	9bf1018e8e4be425d569a26c8438961b92460290ba6aecbfcbf0eb95ca375b36	implementation-headless-sdk	CLI-021,AUTH-014	CONF-010,CONF-020,AUTH-A08	2026-07-23-e2e-final-review	normative	-
pkg/app/extensions_runtime.go	43546833dd0273dbda9d3504c70dbb34b2ef933923238a47db9d866ccb6e7e18	implementation-plugins-hooks	PLUG-062,HOOK-012,HOOK-034,HOOK-073,MCP-061,MCP-064,MCP-072,MCP-080,TP-061,AUTH-014	CONF-014,CONF-015,CONF-004,CONF-020,HOOK-A09,MCP-A07,MCP-A09,MCP-A10,TP-A13,AUTH-A08	2026-07-23-e2e-final-review	normative	-
pkg/app/input.go	c2486a431e4d67097af06bb40535178825754622f8cdcf08f63e7bbb02222df3	implementation-commands-input	IQ-001,IQ-004,IQ-008,CF-009,CLI-023,REPL-SES-017,MCP-055	CONF-012,CONF-010,CONF-009,CONF-015,IQ-A10,REPL-SES-A10,MCP-A13	2026-07-23-e2e-final-review	normative	-
pkg/app/interactions.go	5defbeb523337429a230873760a12b2610a9a6af076426fb222683b601ed33a3	implementation-headless-sdk	RUN-015,WIRE-PERM-060,REPL-SES-016,AUTH-014,MCP-080	CONF-010,CONF-009,CONF-020,CONF-015,REPL-SES-A09,AUTH-A08,MCP-A09	2026-07-23-e2e-final-review	normative	-
pkg/app/mcp_server.go	84671f7bd2587376738a30204e915ae41183daea745f574af9eadd04567ef6f8	implementation-mcp-lsp	MCP-070,MCP-071,MCP-073,TP-053,TP-053A,PLAT-005	CONF-015,CONF-004,CONF-021,TP-A14	2026-07-23-build-identity-review	normative	-
pkg/app/renderers.go	39d9eae13b892ce4ff043e4fcd72b4c66af041423477ce2ea9724ad97aab075e	implementation-headless-sdk	RUN-011,WIRE-003,WIRE-012,WIRE-013,REPL-SES-016,AUTH-014,MCP-080	CONF-010,CONF-009,CONF-020,CONF-015,REPL-SES-A09,AUTH-A08,MCP-A09	2026-07-23-e2e-final-review	normative	-
