path	reviewed_sha256	primary_owner	contract_ids	scenario_ids	review_generation	coverage_class	boundary_reason
QueryEngine.ts	7df34a6a6d106927403d49e3405dfaf70da37cae5b644b658ebaf0b877988af6	implementation-query-model	QM-001,QM-010,QM-011,QM-012,QM-013,QM-020,QM-022,QM-025,QM-026,QM-027,QM-030,QM-031,QM-032,QM-090,QM-094,QM-096,QM-097,QM-120,QM-124,QM-130,QM-131,QM-132,QM-134	CONF-003,QM-A01,QM-A03,QM-A04,QM-A19,QM-A21,QM-A24	2026-07-21-r2-runtime-ops	normative	-
Task.ts	fe0aa6b5c1a116d374b87ee6c3dd8a4c59b4f57fb7cd1a2cf00262ec048644c5	implementation-task-runtime	TR-002,TR-003,TR-004,TR-005,TR-006,TR-007,TR-008,TR-010,TR-011,TR-033,TR-037,TR-038	CONF-007,TR-A01,TR-A10,TR-A11,TR-A12,TR-A13,TR-A14	2026-07-21-r2-cap-ext	normative	-
Tool.ts	29d555ab8e50de9fb005264b5334aba870f1da472198e14d0b3ab0bf86d7c49c	implementation-tool-protocol	TP-002,TP-003,TP-004,TP-005,TP-006,TP-007,TP-008,TP-010,TP-011,TP-013,TP-014	CONF-004,TP-A01,TP-A03	2026-07-21-r2-cap-ext	normative	-
assistant/sessionHistory.ts	65700fadf4d2bbed32f620541638fd39db2fe3bdab81d620ec6cc399c5452e71	implementation-optional-experiences	OPT-AST-009,OPT-AST-010,OPT-AST-011,OPT-AST-012,OPT-AST-013,OPT-AST-014,OPT-AST-015	CONF-011,OPT-AST-A04,OPT-AST-A06,OPT-AST-A08	2026-07-21-r2-terminal-optional-semantic	normative	-
bootstrap/state.ts	7018a1682f63caa901796c7b76774c7cb0465acca2d81b88abfe25cd742fad71	implementation-state-context	SC-001,SC-010,SC-011,SC-030,SC-031,SC-032,SC-033,SC-034,SC-035,SC-037,SC-038,SC-039,SC-040	CONF-002,SC-A01,SC-A03,SC-A08	2026-07-21-r2-runtime-ops	normative	-
bridge/bridgeApi.ts	e1baea1459e666b3d888ec19f86a7302600b2771f73f6087d648c02b234acc67	implementation-remote-bridge	RB-REG-001,RB-WORK-001,RB-WORK-002,RB-CAP-001,RB-LSE-002,RB-END-001,RB-SEC-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeConfig.ts	6e703082fc5d70d77ea5c5c7c474bd6eee8c9944029f8df613fe60568435ce75	implementation-remote-bridge	RB-ARCH-001,RB-ARCH-002,RB-OFF-001,RB-SEC-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeDebug.ts	1075a6991645eddec5e2bb754d8e422196c3f3342b2017a528d2658661e0e3c4	implementation-remote-bridge	RB-AUX-004,RB-SEC-001	CONF-018,RB-U06	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeEnabled.ts	214d6b6d23da9f40b2b4e3b859e8ecad743557a9e4a3cf61489eb306fd1a5d61	implementation-remote-bridge	RB-ARCH-001,RB-ARCH-002,RB-ARCH-003,RB-ARCH-004,RB-OFF-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeMain.ts	e6a597feb9105074168196a1b0bf64caec3bb4a0abb29d0506ef922047b7bed1	implementation-remote-bridge	RB-ARCH-001,RB-REG-001,RB-WORK-001,RB-WORK-002,RB-SPN-001,RB-CAP-001,RB-LSE-002,RB-END-001,RB-RST-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeMessaging.ts	1cebbf62493129bfe75a20a5398cc99300da1fad28e4bb51bef58b632d3c0ff1	implementation-remote-bridge	RB-EVT-001,RB-CTL-001,RB-PERM-001,RB-DED-001,RB-FWD-001,WIRE-PERM-010,WIRE-PERM-011,WIRE-PERM-012,WIRE-PERM-013,WIRE-PERM-020,WIRE-PERM-021,WIRE-PERM-022,WIRE-PERM-023,WIRE-PERM-040,WIRE-PERM-041,WIRE-PERM-042,WIRE-PERM-070	CONF-018	2026-07-21-r4-wire-contracts	normative	-
bridge/bridgePermissionCallbacks.ts	9317103dbae16052c588257474356879dd600e8c25f176af0ec5546ea4678990	implementation-remote-bridge	RB-PERM-001,RB-PERM-002,RB-CTL-001,RB-CTL-002,RB-CAN-001,WIRE-PERM-040,WIRE-PERM-041,WIRE-PERM-042,WIRE-PERM-043,WIRE-PERM-044	CONF-018	2026-07-21-r4-wire-contracts	normative	-
bridge/bridgePointer.ts	05fc45b1617262e3e200eed12c58da43df714236b195f1fabd353160698b6517	implementation-remote-bridge	RB-AUX-001,RB-RST-001,RB-SEQ-003	CONF-018,RB-U01,RB-U02	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeStatusUtil.ts	b869eb6870cee3cb9fdf77b3a4c234184a04e7c7bfee363011f8111bb71a7291	implementation-remote-bridge	RB-EVT-001,RB-TRN-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/bridgeUI.ts	dc1b5b4caf76af2aad53091b4cfd2a51db49e1928f4af191c3486ef10dd1c890	implementation-remote-bridge	RB-EVT-001,RB-TRN-001,RB-OFF-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/capacityWake.ts	40a5743547aaa90eef17bc0ead794af77263e3f451e717afc6b3aa099e3c0cfa	implementation-remote-bridge	RB-CAP-001,RB-SPN-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/codeSessionApi.ts	58669a33ccdf724448a1abdc5687b32f2d73ea0de7e277fe52cdd5859c02124f	implementation-remote-bridge	RB-V2-001,RB-V2-002,RB-V2-003,RB-REG-001,RB-END-001,RB-SEC-001,RB-CCR-WIRE-010,RB-CCR-WIRE-011,RB-CCR-WIRE-012	CONF-018,RB-CCR-WIRE-A01	2026-07-21-r4-wire-contracts	normative	-
bridge/createSession.ts	8c9754ad21c55dec90c70054967bea61374f00f6b39501095aa5703305a51a45	implementation-remote-bridge	RB-V2-001,RB-REG-001,RB-SPN-001,RB-SEC-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/debugUtils.ts	136b6d12113d03f37715313f843b606049949f3858a30e09aaf2e0bc2a37fa10	implementation-remote-bridge	RB-AUX-004,RB-SEC-001	CONF-018,RB-U06	2026-07-21-r2-distributed-headless	normative	-
bridge/envLessBridgeConfig.ts	cd23bfb40f9c19d22322c9f4a25547059fbaa43a8d949a3134c94241c2a5c4e5	implementation-remote-bridge	RB-ARCH-003,RB-ARCH-004,RB-V2-001,RB-OFF-001,RB-SEC-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/flushGate.ts	8c04d8d32b4c4ea76e5b506ea2e23fa466d88f46b04f2ebb52963e9f055d41c2	implementation-remote-bridge	RB-FLG-001,RB-FLG-002,RB-ORD-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/inboundAttachments.ts	a41b8430ffec6d429a9145cc5efb8a3b0c85898d7ddbf5e6a8b5f6c1d4f767b9	implementation-remote-bridge	RB-AUX-003,RB-SEC-001	CONF-018,RB-U04	2026-07-21-r2-distributed-headless	normative	-
bridge/inboundMessages.ts	b6fbd085bb77ab2f4b8e7e5377a945e0d9625426691bfa3cc3b75584844f6ffc	implementation-remote-bridge	RB-AUX-002,RB-EVT-001	CONF-018,RB-U03	2026-07-21-r2-distributed-headless	normative	-
bridge/initReplBridge.ts	f6678c05489910b67253777795a757caa6dcdc50035f0320d125ca9f10a51233	implementation-remote-bridge	RB-ARCH-001,RB-ARCH-003,RB-V2-001,RB-FLG-001,RB-FLG-002,RB-END-001,RB-RST-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/jwtUtils.ts	0510d42414b6fb16f8b362146074f4c73cdf10d7cfc1e08696fee3e4993bc592	implementation-remote-bridge	RB-V2-002,RB-V2-003,RB-REC-001,RB-SEC-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/pollConfig.ts	dc396bac21b89dd3209f2f0fd3a350d871782654454b594b81d23eb07e9b7717	implementation-remote-bridge	RB-CAP-001,RB-LSE-002,RB-ARCH-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/pollConfigDefaults.ts	03e30ed239e136d3489d030627bbfd80e0ca2365a53d2926cfc28f33740e6048	implementation-remote-bridge	RB-CAP-001,RB-LSE-002,RB-ARCH-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/remoteBridgeCore.ts	ef63a891523d657e32db4f4a7b32c2e6fc5e73bd5150b0b1577f4ade1aa6e561	implementation-remote-bridge	RB-V2-001,RB-V2-002,RB-V2-003,RB-REC-001,RB-REC-002,RB-SEQ-001,RB-SEQ-002,RB-FLG-001,RB-FLG-002,RB-OWN-001,RB-END-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/replBridge.ts	72be5bc509e3019daf71e91bad47786b6a92d22bf5304a4ab61ea87c92afde9a	implementation-remote-bridge	RB-ARCH-001,RB-REG-001,RB-WORK-001,RB-WORK-002,RB-FLG-001,RB-FLG-002,RB-DED-001,RB-CTL-001,RB-PERM-001,RB-REC-001,RB-END-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/replBridgeHandle.ts	ef79c3e3ed3f70e05771ef8bebc88669e8cb2348b09b985968fce284e4bce85f	implementation-remote-bridge	RB-ID-001,RB-CMP-001,RB-RST-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/replBridgeTransport.ts	ac203b9f88a878e9da80c0cb9d958adb4d8484ce0a1caeb8ee668e58ea1f6d1e	implementation-remote-bridge	RB-HYB-001,RB-CCR-001,RB-OWN-001,RB-SEQ-001,RB-SEQ-002,RB-DEL-001,RB-DEL-002,RB-DEL-003,RB-CCR-WIRE-001,RB-CCR-WIRE-004,RB-CCR-WIRE-012,RB-CCR-WIRE-033,RB-CCR-WIRE-050,RB-CCR-WIRE-051,RB-CCR-WIRE-052,RB-CCR-WIRE-053,RB-CCR-WIRE-060,RB-CCR-WIRE-061,RB-CCR-WIRE-072	CONF-018,RB-CCR-WIRE-A01,RB-CCR-WIRE-A03,RB-CCR-WIRE-A04,RB-CCR-WIRE-A06,RB-CCR-WIRE-A08	2026-07-21-r4-wire-contracts	normative	-
bridge/sessionIdCompat.ts	8c99317ff59c95b29f02503dbea705dd06fcf14e424c169c62156d4cabb0dd2b	implementation-remote-bridge	RB-CMP-001,RB-ID-002	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/sessionRunner.ts	4e10ee47f5ebedf17bf9e6a34eff9c2c63d638ba751dd1e20bf7492462b1869c	implementation-remote-bridge	RB-SPN-001,RB-WORK-001,RB-WORK-002,RB-DEL-001,RB-CAN-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/trustedDevice.ts	52e6750552e197775a5d85aeee2a58d4e302c37adb96155f99df8735d4bfbc85	implementation-remote-bridge	RB-SEC-001,RB-OFF-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/types.ts	7c22b08956484f6bd5641ed4d89e443c04923827cbe21c000798aa9e2527a0fe	implementation-remote-bridge	RB-ID-001,RB-WORK-001,RB-SPN-001,RB-CTL-001,RB-PERM-001	CONF-018	2026-07-21-r2-distributed-headless	normative	-
bridge/workSecret.ts	2046e50e72ad06c8fd1c94d325fc1f03c364135431baba78d7c62a880ebdb7cb	implementation-remote-bridge	RB-WORK-001,RB-CMP-001,RB-V2-002,RB-SEC-001,RB-CCR-WIRE-001,RB-CCR-WIRE-004,RB-CCR-WIRE-012	CONF-018,RB-CCR-WIRE-A01	2026-07-21-r4-wire-contracts	normative	-
buddy/CompanionSprite.tsx	7d0a77990cb301ddf93d04f2fdd807fee1f1acbcabcef67ceb4c9ba2fd8a84cb	implementation-optional-experiences	OPT-BUD-004,OPT-BUD-005,OPT-BUD-006	CONF-011,OPT-BUD-A02	2026-07-21-r2-terminal-optional-semantic	normative	-
buddy/companion.ts	1361783a616ccdd230ea73f1b3d3756cfdebf01d828ad1c50096706d0f62dd51	implementation-optional-experiences	OPT-BUD-001,OPT-BUD-002	CONF-011,OPT-BUD-A01	2026-07-21-r2-terminal-optional-semantic	normative	-
buddy/prompt.ts	eae6d640cebc88d72b6f8a9df9f83301a281b0e35cad1db69e4e96ad19663dc3	implementation-optional-experiences	OPT-BUD-003	CONF-011,OPT-BUD-A03	2026-07-21-r2-terminal-optional-semantic	normative	-
buddy/sprites.ts	01a0e4c2c4f3bc3fee7a07daea55974ca61a8646af01d43d872f90d0ccd5c3e3	implementation-optional-experiences	OPT-BUD-007	CONF-011,OPT-BUD-A04	2026-07-21-r2-terminal-optional-semantic	normative	-
buddy/types.ts	767130409603e06a078c35f1bdfa4d693ad39c904b06cc6500fd716e02bf817e	implementation-optional-experiences	OPT-BUD-001,OPT-BUD-002,OPT-BUD-007	CONF-011,OPT-BUD-A01,OPT-BUD-A04	2026-07-21-r2-terminal-optional-semantic	normative	-
buddy/useBuddyNotification.tsx	275ac8088d5ea7155887deacb32a5c36ffebfbaa2569957df0b9f3bf9f923f91	implementation-optional-experiences	OPT-BUD-006,OPT-BUD-008,OPT-BUD-009	CONF-011,OPT-BUD-A04	2026-07-21-r2-terminal-optional-semantic	normative	-
cli/exit.ts	b6d5b041efa946f196281ee716906d019c12c0126ac98337ec6fc66ab7a41a2a	implementation-headless-sdk	CLIM-001,CLIM-002,CLIM-003	CONF-010,CLIM-A04	2026-07-21-r2-distributed-headless	normative	-
cli/handlers/agents.ts	8f68c19182ef00910b5e4900e6b37bd0c52768efd214a919f5070e747641f827	implementation-headless-sdk	CLIM-010	CONF-010	2026-07-21-r2-distributed-headless	normative	-
cli/handlers/auth.ts	c7058aa81f0a042a4802ee9df359f4d117306a97f59bac8c6ebf9d014a8b93f3	implementation-headless-sdk	CLIM-020,CLIM-021,CLIM-022,CLIM-023	CONF-010,CLIM-A02	2026-07-21-r2-distributed-headless	normative	-
cli/handlers/autoMode.ts	9e018a6599d62a72c2828e4580336a0c4b42b31bb85502e1096ce81fb8730a26	implementation-headless-sdk	CLIM-030,CLIM-031	CONF-010,CLIM-A05	2026-07-21-r2-distributed-headless	normative	-
cli/handlers/mcp.tsx	694aa1a5dea2fbad368290290eecbb90a72e5398058c9f3cfd0e5b932f014859	implementation-headless-sdk	CLIM-040,CLIM-041,CLIM-042,CLIM-043,CLIM-044	CONF-010,CLIM-A01	2026-07-21-r2-distributed-headless	normative	-
cli/handlers/plugins.ts	ef44c19516c2cf7c281bc144fd2acf2c9547b18d98de5f9a0b85b1680b21c8a0	implementation-headless-sdk	CLIM-050,CLIM-051,CLIM-052,CLIM-053	CONF-010,CLIM-A03	2026-07-21-r2-distributed-headless	normative	-
cli/handlers/util.tsx	68f1e9fb6d6cf6d4e67a2ffddcd4f9495871e90954edc7cb90c091ac1a55c0ac	implementation-headless-sdk	CLIM-060,CLIM-061,CLIM-062	CONF-010,CLIM-A06	2026-07-21-r2-distributed-headless	normative	-
cli/ndjsonSafeStringify.ts	3187de65d53a87b9d149dd2fb26c677ba5a4b03232ea259b33d320d325843dea	implementation-headless-sdk	WIRE-001,HTR-050	CONF-010,HTR-A06	2026-07-21-r2-distributed-headless	normative	-
cli/print.ts	77bb8bed6ebe3e5fbc3c6521dcddab479af8ce9e3df82b2a103c27bf14cc573d	implementation-headless-sdk	CLI-004,CLI-005,CLI-007,CLI-009,RUN-001,RUN-002,RUN-003,RUN-004,RUN-005,RUN-006,RUN-008,RUN-009,RUN-010,RUN-011,RUN-012,RUN-013,RUN-014,RUN-015,RUN-016,RUN-017,RUN-018,RUN-019,RUN-020,RUN-021,RUN-022,RUN-023,RUN-024,WIRE-003,WIRE-004,WIRE-005,WIRE-006,WIRE-007,WIRE-008,WIRE-009,WIRE-010,WIRE-011,WIRE-EOF-001,WIRE-PERM-001,WIRE-PERM-002,WIRE-PERM-003,WIRE-PERM-004,WIRE-PERM-071,WIRE-PERM-072,WIRE-PERM-073	CONF-010,WIRE-PERM-A05,WIRE-PERM-A06	2026-07-21-r4-wire-contracts	normative	-
cli/remoteIO.ts	c1376ac176c001568942eedc13dc2a6afe1792147a2b6208eea734ed7fac5a2b	implementation-headless-sdk	HTR-001,HTR-002,HTR-003,HTR-004,HTR-005,HTR-040,HTR-041,HTR-044,RB-CCR-WIRE-002,RB-CCR-WIRE-003,RB-CCR-WIRE-020,RB-CCR-WIRE-021,RB-CCR-WIRE-022,RB-CCR-WIRE-030,RB-CCR-WIRE-031,RB-CCR-WIRE-032,RB-CCR-WIRE-033,RB-CCR-WIRE-050,RB-CCR-WIRE-072	CONF-010,HTR-A01,HTR-A05,RB-CCR-WIRE-A02,RB-CCR-WIRE-A08	2026-07-21-r4-wire-contracts	normative	-
cli/structuredIO.ts	14757d9a9ad9dde8764b51e1721d2d651d84207269b30c84d0ff5b8d18aba11d	implementation-headless-sdk	WIRE-001,WIRE-002,WIRE-003,WIRE-004,WIRE-005,WIRE-006,WIRE-007,WIRE-008,WIRE-009,WIRE-010,WIRE-011,WIRE-EOF-001,WIRE-PERM-001,WIRE-PERM-002,WIRE-PERM-003,WIRE-PERM-004,HTR-050,HTR-052,WIRE-PERM-010,WIRE-PERM-020,WIRE-PERM-021,WIRE-PERM-022,WIRE-PERM-023,WIRE-PERM-040,WIRE-PERM-041,WIRE-PERM-042,WIRE-PERM-043,WIRE-PERM-044,WIRE-PERM-050,WIRE-PERM-051,WIRE-PERM-052,WIRE-PERM-053,WIRE-PERM-060,WIRE-PERM-070,WIRE-PERM-071,WIRE-PERM-072,WIRE-PERM-073,WIRE-PERM-080	CONF-010,HTR-A06,HTR-A07,WIRE-PERM-A02,WIRE-PERM-A04,WIRE-PERM-A05,WIRE-PERM-A06,WIRE-PERM-A07	2026-07-21-r4-wire-contracts	normative	-
cli/transports/HybridTransport.ts	7b1a4f679c867660745dee577ea9c0cfe90a3f085d3184c1a0445fd317e82cc2	implementation-headless-sdk	HTR-020,HTR-021,HTR-022,HTR-023	CONF-010,HTR-A03,HTR-A07	2026-07-21-r2-distributed-headless	normative	-
